release	bundle_sha256	sig	ziguard_awk_sha	script_eq_2026b	tdata_files	A_port_fidelity	B_reproduces_release	B_diff_lines	classification
2016g	145670c411713883	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2016h	1080df7ec5a53350	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2016i	77c75cfc68295d29	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2016j	f307448d6f251bde	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2017a	4283ece165c6711f	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2017b	0bfecb6c05ae0b2e	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2017c	4289fd76a7ee17c1	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2018a	f0cb440ef5defc72	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2018b	c66d5433092bc82a	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2018c	83637e36d58cbbce	GOODSIG	-	-	0	-	-	-	no_ziguard_predates_tool
2018d	7a96f575c0ffee9f	GOODSIG	1d7671530e39	no	11	yes	no	48318	script_evolution_expected
2018e	b1c23c7825f5f842	GOODSIG	5fc474f9c849	no	11	yes	no	1586	script_evolution_expected
2018f	a7c1dc070756dcee	GOODSIG	5fc474f9c849	no	11	yes	no	1586	script_evolution_expected
2018g	bdbdc46c1927f172	GOODSIG	009fac322a75	no	11	yes	no	1568	script_evolution_expected
2018h	58eb916a8920cf30	GOODSIG	38d750dbdec9	no	11	yes	no	1630	script_evolution_expected
2018i	1b7f91de728295d6	GOODSIG	38d750dbdec9	no	11	yes	no	1630	script_evolution_expected
2019a	16d10794dd8de8eb	GOODSIG	38d750dbdec9	no	11	yes	no	1630	script_evolution_expected
2019b	180adb8a6d9653a4	GOODSIG	38d750dbdec9	no	11	yes	no	1630	script_evolution_expected
2019c	0f9ebf1d04c21d95	GOODSIG	38d750dbdec9	no	11	yes	no	1632	script_evolution_expected
2020a	99a6e52363fdb9a3	GOODSIG	38d750dbdec9	no	11	yes	no	1632	script_evolution_expected
2020b	de1345ff0f5672a7	GOODSIG	38d750dbdec9	no	10	yes	no	1640	script_evolution_expected
2020c	659c3999b7b2f23c	GOODSIG	2a9e77bea286	no	10	yes	no	1640	script_evolution_expected
2020d	ac212a0cdb3bd043	GOODSIG	2a9e77bea286	no	10	yes	no	1640	script_evolution_expected
2020e	03aa25218728e0f2	GOODSIG	2a9e77bea286	no	10	yes	no	1652	script_evolution_expected
2020f	6226b38b7434b66f	GOODSIG	27f0e4696706	no	10	yes	no	1648	script_evolution_expected
2021a	21bf125de7b0c486	GOODSIG	27f0e4696706	no	10	yes	no	1648	script_evolution_expected
2021b	59d5c385e6043d81	GOODSIG	b2a3486258c1	no	10	yes	no	1638	script_evolution_expected
2021c	8f13045dd057aeac	GOODSIG	b2a3486258c1	no	10	yes	no	1638	script_evolution_expected
2021d	ca2b5c91eb6a3cbb	GOODSIG	b2a3486258c1	no	10	yes	no	1638	script_evolution_expected
2021e	a3f98ee8bd76d58e	GOODSIG	b2a3486258c1	no	10	yes	no	1638	script_evolution_expected
2022a	46123b769c551901	GOODSIG	c828581160b3	no	10	yes	no	1644	script_evolution_expected
2022b	ac7e86da284b3032	GOODSIG	4b99219962af	no	10	yes	no	24	script_evolution_expected
2022c	2e178330282e2832	GOODSIG	2719a1fbc980	no	10	yes	no	24	script_evolution_expected
2022d	60d1d7ab9f230fcb	GOODSIG	2719a1fbc980	no	10	yes	no	24	script_evolution_expected
2022e	4e2258a521ae0daf	GOODSIG	2719a1fbc980	no	10	yes	no	24	script_evolution_expected
2022f	180343dda8b24e00	GOODSIG	0fead2a1b51b	no	10	yes	no	4	script_evolution_expected
2022g	579013083a7b0fd8	GOODSIG	0fead2a1b51b	no	10	yes	no	4	script_evolution_expected
2023a	4ab2805f15f9a5a6	GOODSIG	0fead2a1b51b	no	10	yes	no	4	script_evolution_expected
2023b	2694091b28981ae5	GOODSIG	0fead2a1b51b	no	10	yes	no	4	script_evolution_expected
2023c	08fd090f1a16d522	GOODSIG	0fead2a1b51b	no	10	yes	no	4	script_evolution_expected
2023d	696849b454176ea8	GOODSIG	0fead2a1b51b	no	10	yes	no	4	script_evolution_expected
2024a	511af6b467f40b1e	GOODSIG	0fead2a1b51b	no	10	yes	no	4	script_evolution_expected
2024b	22674a67786d3ec1	GOODSIG	e4600a2360b6	yes	10	yes	yes	0	reproduces_release_exactly
2025a	86882399c5869397	GOODSIG	e4600a2360b6	yes	10	yes	yes	0	reproduces_release_exactly
2025b	ec2f98c739009fd8	GOODSIG	e4600a2360b6	yes	10	yes	yes	0	reproduces_release_exactly
2025c	fbe5b52a151c992c	GOODSIG	e4600a2360b6	yes	10	yes	yes	0	reproduces_release_exactly
2026a	0913509a37f26b81	GOODSIG	e4600a2360b6	yes	10	yes	yes	0	reproduces_release_exactly
2026b	ffad46a04c8d1624	GOODSIG	e4600a2360b6	yes	10	yes	yes	0	reproduces_release_exactly
